club,league,jersey_colour,stadium,formation,playing_style,goals_scored,goals_conceded,xG,xGA,xA,shots_per90,passes_per90,pass_accuracy,ppda,tackles_per90,interceptions_per90,saves_per90,progressive_passes,pressing_intensity
Manchester City,Premier League,Sky Blue,Etihad,4-3-3,Possession,92,34,88.5,32.1,65.2,17.2,650,91.2,7.5,15.3,9.8,2.3,72,High
Roma,Serie A,Red,Olimpico,3-5-2,Counter,70,48,72.0,49.5,48.5,14.5,530,86.0,10.5,17.5,11.5,2.9,60,Medium
Ajax,Eredivisie,Red/White,Johan Cruyff Arena,4-3-3,Possession,90,35,88.0,34.0,65.0,18.5,650,91.0,7.0,14.5,9.0,2.1,78,High
Atletico Madrid,La Liga,Red/White,Metropolitano,4-4-2,Defensive,70,30,68.2,29.1,45.6,13.2,520,85.3,12.0,18.0,12.5,2.5,58,Low
Borussia Dortmund,Bundesliga,Yellow,Signal Iduna Park,4-2-3-1,Attacking,82,48,80.0,50.2,55.0,17.5,580,87.5,8.5,15.5,10.0,2.4,70,Medium
Arsenal,Premier League,Red/White,Emirates,4-3-3,Possession,85,38,82.1,35.5,60.8,16.1,610,89.5,8.2,16.8,10.5,2.5,68,High
Inter Milan,Serie A,Blue/Black,San Siro,3-5-2,Balanced,85,32,82.0,30.0,58.0,16.5,570,88.5,9.0,16.0,10.0,2.2,68,Medium
Real Betis,La Liga,Green/White,Villamarin,4-2-3-1,Possession,64,49,67.0,51.5,45.5,14.8,570,88.1,9.8,16.5,10.5,2.7,62,Medium
Bayern Munich,Bundesliga,Red,Allianz Arena,4-2-3-1,Attacking,95,36,90.5,34.0,68.2,19.0,620,89.0,7.0,14.0,8.5,2.0,78,High
Brighton,Premier League,Blue/White,Amex,4-2-3-1,Build-up,69,48,72.3,49.9,49.8,15.7,620,89.9,8.9,16.7,10.4,2.7,69,High
Napoli,Serie A,Blue,Maradona,4-3-3,Possession,82,38,80.0,36.5,55.0,16.2,580,88.8,8.5,15.5,9.5,2.3,70,High
Real Sociedad,La Liga,Blue/White,Anoeta,4-3-3,Possession,68,42,70.5,44.3,48.1,14.5,575,88.7,9.2,16.2,10.2,2.6,63,High
RB Leipzig,Bundesliga,Red,Red Bull Arena,4-2-2-2,Pressing,78,42,79.2,43.1,52.0,16.8,570,87.0,7.8,17.8,11.5,2.3,68,High
Chelsea,Premier League,Blue,Stamford Bridge,4-2-3-1,Possession,72,45,75.0,48.0,52.3,15.3,605,88.6,9.5,17.0,10.8,2.9,66,Medium
Fiorentina,Serie A,Purple,Franchi,4-2-3-1,Possession,65,52,68.0,53.5,47.5,14.8,570,88.0,9.5,16.2,10.2,2.7,64,Medium
Villarreal,La Liga,Yellow,Ceramica,4-4-2,Attacking,66,48,69.3,50.1,46.0,15.2,560,87.4,10.0,16.8,10.9,2.8,61,Medium
Bayer Leverkusen,Bundesliga,Red/Black,BayArena,3-4-2-1,Possession,85,40,84.0,38.2,60.5,18.0,600,89.2,7.2,15.2,9.2,2.1,74,High
Aston Villa,Premier League,Claret/Blue,Villa Park,4-4-2,Counter,71,46,73.5,47.2,47.9,14.9,545,86.5,10.1,17.5,11.3,3.1,62,Medium
Juventus,Serie A,Black/White,Allianz Stadium,3-5-2,Defensive,68,30,65.0,28.5,44.0,13.0,540,87.0,11.5,18.5,12.0,2.4,58,Low
Sevilla,La Liga,White,Ramon Sanchez,4-2-3-1,Balanced,65,50,66.0,52.4,44.2,14.0,540,86.0,10.8,17.0,11.0,2.9,60,Medium
Frankfurt,Bundesliga,Black/Red,Deutsche Bank Park,3-4-2-1,Transition,70,55,72.0,57.0,48.0,15.0,540,85.5,10.5,17.0,11.8,2.8,60,Medium
West Ham,Premier League,Claret/Blue,London Stadium,4-2-3-1,Direct,60,55,62.0,58.4,42.3,13.8,480,83.4,12.5,18.0,12.7,3.5,55,Low
Lazio,Serie A,Sky Blue,Olimpico,4-3-3,Balanced,72,50,74.0,52.0,49.0,15.0,540,86.8,10.0,17.0,11.0,2.8,62,Medium
Athletic Bilbao,La Liga,Red/White,San Mames,4-2-3-1,Pressing,67,44,69.8,45.0,46.8,15.5,550,86.9,8.5,17.5,11.2,2.6,64,High
Stuttgart,Bundesliga,White,Mercedes-Benz,4-3-3,Attacking,75,50,77.5,52.0,50.0,16.5,550,86.5,9.5,16.0,10.8,2.6,65,Medium
